,,,,,,,,,,,,,
List of Alberta Snowfly Elements in the ACIMS Database - June 2022,,,,,,,,,,,,,
,"Please note:  Elements may be tracked at the species or subspecies/variety level, so be sure to check both the species and infraspecies for tracking status.",,,,,,,,,,,,
Alberta,Invertebrate Animal,IIPLE2F010,Perlodidae,Kogotus modestus,sickle springfly,Kogotus modestus,Sickle Springfly,SU,NU,G5,Native,Present,Track all extant and selected historical EOs
Alberta,Invertebrate Animal,IIPLE2F020,Perlodidae,Kogotus nonus,smooth springfly,Kogotus nonus,Smooth Springfly,SU,NU,G4,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE2K010,Perlodidae,Rickera sorpta,Pale-striped Springfly,Rickera sorpta,Palestripe Springfly,SU,NU,G3,Native,Present,Track all extant and selected historical EOs
Alberta,Invertebrate Animal,IIPLE2M010,Perlodidae,Diura bicaudata,Lapland springfly,Diura bicaudata,Lapland Springfly,SU,N4N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE2M020,Perlodidae,Diura knowltoni,Nearctic springfly,Diura knowltoni,Nearctic Springfly,SU,NU,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE2Q010,Perlodidae,Isogenoides colubrinus,Blackfoot springfly,Isogenoides colubrinus,Blackfoot Springfly,SU,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE2Q030,Perlodidae,Isogenoides elongatus,elongate springfly,Isogenoides elongatus,Elongate Springfly,SU,NU,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE2Q040,Perlodidae,Isogenoides frontalis,Hudsonian springfly,Isogenoides frontalis,Hudsonian Springfly,SU,N4N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE2U010,Pteronarcyidae,Pteronarcella badia,least salmonfly,Pteronarcella badia,Least Salmonfly,SU,N4N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE2U020,Pteronarcyidae,Pteronarcella regularis,Dwarf Salmonfly,Pteronarcella regularis,Dwarf Salmonfly,SU,NU,G3,Native,Present,Track all extant and selected historical EOs
Alberta,Invertebrate Animal,IIPLE2V020,Pteronarcyidae,Pteronarcys californica,giant salmonfly,Pteronarcys californica,Giant Salmonfly,SU,N4N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE2V040,Pteronarcyidae,Pteronarcys dorsata,American Salmonfly,Pteronarcys dorsata,American Salmonfly,S4S5,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE2V060,Pteronarcyidae,Pteronarcys princeps,ebony salmonfly,Pteronarcys princeps,Ebony Salmonfly,SU,N4N5,G4G5,Native,Present,Do not track
